web-scraper-order,web-scraper-start-url,id1,id1-href,id2,id2-href
"1606244636-178","https://www.uahirise.org/catalog/index.php?page=195","Possible Clay-Bearing Layers Exposed in Shalbatana Vallis Scarp","https://www.uahirise.org/ESP_060952_1890","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_060900_060999/ESP_060952_1890/ESP_060952_1890_IRB.NOMAP.browse.jpg"
"1606247574-1040","https://www.uahirise.org/catalog/index.php?page=159","Rocky Deposits on Floor of Briault Crater","https://www.uahirise.org/ESP_062332_1700","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_062300_062399/ESP_062332_1700/ESP_062332_1700_IRB.NOMAP.browse.jpg"
"1606255310-3006","https://www.uahirise.org/catalog/index.php?page=077","Gullies in Sisyphi Cavi","https://www.uahirise.org/ESP_064855_1060","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_064800_064899/ESP_064855_1060/ESP_064855_1060_IRB.NOMAP.browse.jpg"
"1606250652-1889","https://www.uahirise.org/catalog/index.php?page=124","Terrain Sample","https://www.uahirise.org/ESP_063774_2205","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_063700_063799/ESP_063774_2205/ESP_063774_2205_IRB.NOMAP.browse.jpg"
"1606245941-559","https://www.uahirise.org/catalog/index.php?page=179","Dune Monitoring in Davies Crater","https://www.uahirise.org/ESP_061702_2260","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_061700_061799/ESP_061702_2260/ESP_061702_2260_IRB.NOMAP.browse.jpg"
"1606255507-3061","https://www.uahirise.org/catalog/index.php?page=075","Slope Streaks near Naktong Vallis","https://www.uahirise.org/ESP_064892_1850","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_064800_064899/ESP_064892_1850/ESP_064892_1850_IRB.NOMAP.browse.jpg"
"1606250151-1753","https://www.uahirise.org/catalog/index.php?page=130","Candidate Recent Impact Site","https://www.uahirise.org/ESP_063413_2160","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_063400_063499/ESP_063413_2160/ESP_063413_2160_IRB.NOMAP.browse.jpg"
"1606256703-3394","https://www.uahirise.org/catalog/index.php?page=061","USGS Dune Database Entry Number 2525-539","https://www.uahirise.org/ESP_065359_1255","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_065300_065399/ESP_065359_1255/ESP_065359_1255_IRB.NOMAP.browse.jpg"
"1606249695-1637","https://www.uahirise.org/catalog/index.php?page=134","Light-Toned Ridge Segment and Circular Mesas","https://www.uahirise.org/ESP_063245_1455","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_063200_063299/ESP_063245_1455/ESP_063245_1455_IRB.NOMAP.browse.jpg"
"1606245467-418","https://www.uahirise.org/catalog/index.php?page=185","East Melas Chasma Floor Deposits","https://www.uahirise.org/ESP_061573_1695","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_061500_061599/ESP_061573_1695/ESP_061573_1695_IRB.NOMAP.browse.jpg"
"1606253561-2614","https://www.uahirise.org/catalog/index.php?page=094","Candidate Recent Impact Site","https://www.uahirise.org/ESP_064651_1865","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_064600_064699/ESP_064651_1865/ESP_064651_1865_IRB.NOMAP.browse.jpg"
"1606253110-2505","https://www.uahirise.org/catalog/index.php?page=098","Crater in Hellas Planitia","https://www.uahirise.org/ESP_064575_1310","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_064500_064599/ESP_064575_1310/ESP_064575_1310_IRB.NOMAP.browse.jpg"
"1606245678-481","https://www.uahirise.org/catalog/index.php?page=183","Tyrrhena Terra Crater Floor Deposit","https://www.uahirise.org/ESP_061633_1720","non-map","https://hirise-pds.lpl.arizona.edu/PDS/EXTRAS/RDR/ESP/ORB_061600_061699/ESP_061633_1720/ESP_061633_1720_IRB.NOMAP.browse.jpg"
